"filename", "language", "XML", "JSON", "Markdown", "Log", "C#", "comment", "blank", "total"
"d:\proj\git\checkers\Assembly-CSharp.csproj", "XML", 653, 0, 0, 0, 0, 7, 1, 661
"d:\proj\git\checkers\Assets\Sctripts\chekers\Checkers.cs", "C#", 0, 0, 0, 0, 17, 0, 3, 20
"d:\proj\git\checkers\Assets\Sctripts\chekers\board\Board.cs", "C#", 0, 0, 0, 0, 54, 0, 9, 63
"d:\proj\git\checkers\Assets\Sctripts\chekers\move\Move.cs", "C#", 0, 0, 0, 0, 85, 0, 14, 99
"d:\proj\git\checkers\Assets\Sctripts\chekers\movement\Movement.cs", "C#", 0, 0, 0, 0, 103, 0, 8, 111
"d:\proj\git\checkers\Assets\Sctripts\chekers\rules\Rules.cs", "C#", 0, 0, 0, 0, 63, 0, 9, 72
"d:\proj\git\checkers\Assets\Sctripts\controller\Controller.cs", "C#", 0, 0, 0, 0, 170, 0, 14, 184
"d:\proj\git\checkers\Assets\Sctripts\controller\Resources.cs", "C#", 0, 0, 0, 0, 12, 2, 5, 19
"d:\proj\git\checkers\Logs\AssetImportWorker0-prev.log", "Log", 0, 0, 0, 1928, 0, 0, 114, 2042
"d:\proj\git\checkers\Logs\AssetImportWorker0.log", "Log", 0, 0, 0, 1577, 0, 0, 74, 1651
"d:\proj\git\checkers\Logs\Packages-Update.log", "Log", 0, 0, 0, 43, 0, 0, 4, 47
"d:\proj\git\checkers\Logs\shadercompiler-AssetImportWorker0.log", "Log", 0, 0, 0, 2, 0, 0, 2, 4
"d:\proj\git\checkers\Logs\shadercompiler-UnityShaderCompiler.exe0.log", "Log", 0, 0, 0, 2, 0, 0, 2, 4
"d:\proj\git\checkers\Packages\manifest.json", "JSON", 0, 44, 0, 0, 0, 0, 1, 45
"d:\proj\git\checkers\Packages\packages-lock.json", "JSON", 0, 354, 0, 0, 0, 0, 1, 355
"d:\proj\git\checkers\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1
"d:\proj\git\checkers\aaa.csproj", "XML", 636, 0, 0, 0, 0, 7, 1, 644
"d:\proj\git\checkers\checkers.csproj", "XML", 648, 0, 0, 0, 0, 7, 1, 656
"d:\proj\git\checkers\controller.csproj", "XML", 656, 0, 0, 0, 0, 7, 1, 664
"d:\proj\git\checkers\move.csproj", "XML", 639, 0, 0, 0, 0, 7, 1, 647
"d:\proj\git\checkers\movement.csproj", "XML", 643, 0, 0, 0, 0, 7, 1, 651
"d:\proj\git\checkers\mve.csproj", "XML", 636, 0, 0, 0, 0, 7, 1, 644
"d:\proj\git\checkers\rule.csproj", "XML", 636, 0, 0, 0, 0, 7, 1, 644
"d:\proj\git\checkers\rules.csproj", "XML", 639, 0, 0, 0, 0, 7, 1, 647
"Total", "-", 5786, 398, 1, 3552, 504, 65, 269, 10575